word,start,end,duration,f0_mean,f0_median,f0_std,voiced_fraction,jitter_approx,rms_mean,rms_std
as,1.18,1.42,0.24,186.95851242866306,187.14677540918822,3.2100495608098347,0.625,0.01871511067451838,0.15642496943473816,0.029428623616695404
i,1.42,1.5799999999999998,0.15999999999999992,172.3628438432121,173.10845697589315,4.257591226459991,0.9090909090909091,0.009073546168839848,0.15161778032779694,0.017878010869026184
always,1.58,1.95,0.3699999999999999,145.56875579141374,151.1349012203898,10.350507655970308,0.875,0.01142242007627496,0.15153591334819794,0.03650272265076637
say,1.95,2.54,0.5900000000000001,92.81171481842937,91.96585291173604,8.70024418013398,0.7027027027027027,0.018697447779903474,0.08434555679559708,0.04077913612127304
i,2.72,3.1,0.3799999999999999,136.88079576108,137.39627335406226,4.666183419422626,0.5,0.01893184690566136,0.12437824159860611,0.05410090833902359
handle,3.11,3.53,0.41999999999999993,92.2015767651795,86.80420620725057,11.875935517264,0.7777777777777778,0.018644751899500673,0.08197640627622604,0.0243915356695652
the,3.53,3.64,0.11000000000000032,82.32916183829214,82.16957484998305,0.5093159354608253,0.8571428571428571,0.005747335381034497,0.08736900985240936,0.004828199744224548
full,3.64,3.97,0.33000000000000007,77.19302702067098,76.88834637984607,1.1152424883663627,0.14285714285714285,0.017294420474936362,0.09605446457862854,0.043206971138715744
life,3.97,4.25,0.2799999999999998,,,,0.0,,0.08052036166191101,0.015103303827345371
cycle,4.25,4.87,0.6200000000000001,,,,0.0,,0.045572876930236816,0.0422583743929863
you,5.33,5.65,0.3200000000000003,158.7413135209022,159.4147868892618,41.17100972246952,0.7619047619047619,0.05654506375327268,0.1408451795578003,0.05642542615532875
know,5.65,5.78,0.1299999999999999,,,,0.0,,0.0711740180850029,0.013101133517920971
that,5.78,6.0,0.21999999999999975,,,,0.0,,0.02898627333343029,0.0053539881482720375
line,6.0,6.34,0.33999999999999986,86.70332592032855,91.17285178633497,9.163080753432448,0.5454545454545454,0.03582842766796948,0.05458049848675728,0.02633669599890709
right,6.34,6.75,0.41000000000000014,,,,0.0,,0.08038575202226639,0.03479840233922005
i,7.33,7.52,0.1899999999999995,,,,0.0,,0.08508307486772537,0.03975711017847061
design,7.52,8.11,0.5899999999999999,102.67819023422587,100.28947374140385,16.11428657639012,0.9459459459459459,0.02925922064087173,0.1042087972164154,0.02588227577507496
i,8.11,8.24,0.13000000000000078,90.01158459968555,91.17285178633497,1.7112764701420686,0.8888888888888888,0.005800637824112543,0.06568101048469543,0.012049906887114048
implement,8.27,8.74,0.47000000000000064,101.72644673851502,100.87044475251382,4.963540677262889,0.7666666666666667,0.02075851932062317,0.10533875972032547,0.03054094687104225
