word,start,end,duration,f0_mean,f0_median,f0_std,voiced_fraction,jitter_approx,rms_mean,rms_std
they,1.43,1.67,0.24,195.91157250087394,194.86885420251932,5.4719606394583495,0.4375,0.015301535749793593,0.1637611985206604,0.061683230102062225
applauded,1.67,2.25,0.5800000000000001,151.99086472744983,141.8307339283537,27.213360935032075,0.8108108108108109,0.03704704073318091,0.1311461180448532,0.0503588505089283
the,2.25,2.36,0.10999999999999988,160.49925986326957,155.56349186104043,11.451536326158338,0.8571428571428571,0.03486680593782328,0.1647982895374298,0.016337256878614426
demo,2.36,3.04,0.6800000000000002,92.0897154011593,90.13466346185564,15.627329140177407,0.5116279069767442,0.062181149113046834,0.07965228706598282,0.04217620566487312
felt,3.13,3.62,0.4900000000000002,,,,0.0,,0.06467338651418686,0.03896060958504677
good,3.8,4.44,0.6400000000000006,79.73291233343735,79.59980805922079,1.2917911334435743,0.36585365853658536,0.006187490082706886,0.08436735719442368,0.0522446446120739
i,5.51,5.65,0.14000000000000057,,,,0.0,,0.12430327385663986,0.02271883562207222
usually,5.65,6.19,0.54,100.91419410840264,97.43442710125966,25.713040536374734,0.8529411764705882,0.04920049383541387,0.11855192482471466,0.048651136457920074
say,6.19,6.54,0.34999999999999964,,,,0.0,,0.12247736006975174,0.017275040969252586
i,6.59,6.8,0.20999999999999996,147.50133317930513,150.26442824298348,4.240669044301991,0.5,0.015463556921600214,0.13280487060546875,0.025933044031262398
draw,6.8,7.07,0.27000000000000046,,,,0.0,,0.13038544356822968,0.04145946353673935
the,7.07,7.220000000000001,0.15000000000000036,114.14720047043384,118.57804013471404,6.638732133256751,0.9,0.018099032166016264,0.12222292274236679,0.04273318871855736
architecture,7.22,8.0,0.7800000000000002,109.96352516938039,117.96589177500724,24.763396155115128,0.6122448979591837,0.0409367391508311,0.09680423885583878,0.03821466863155365
because,8.099999,8.449999,0.34999999999999964,119.84905524321935,121.34967043801211,4.921449527856054,0.5909090909090909,0.033913408361824195,0.12216239422559738,0.03869129344820976
it's,8.45,8.7,0.25,120.33835242409285,121.70115618273752,4.925168251113366,0.625,0.021532871823026913,0.11510635912418365,0.035378552973270416
what,8.7,8.879999999999999,0.17999999999999972,128.46523641460468,128.565497341737,1.221487144482323,0.5833333333333334,0.005765871514286322,0.10833723098039627,0.061229489743709564
people,8.9,9.51,0.6099999999999994,93.33531330706786,91.43616857570666,5.376031440803242,0.7435897435897436,0.027003869231613933,0.0904710590839386,0.04008086025714874
expect,9.639999,10.529999,0.8900000000000006,,,,0.0,,0.06804569065570831,0.03286638483405113
but,10.8,11.02,0.21999999999999886,161.31598365031564,161.0494265540188,0.4214637753894597,0.5,0.0019230232414441395,0.09924161434173584,0.03243162855505943
behind,11.02,11.61,0.5899999999999999,137.45833475153634,141.8307339283537,13.168167915753854,0.8108108108108109,0.023791009626095608,0.12655290961265564,0.031027205288410187
the,11.61,11.77,0.16000000000000014,153.526865214805,153.3338484711746,2.2452132074855173,0.9090909090909091,0.008363838644803785,0.15560069680213928,0.0264313742518425
applause,11.77,12.45,0.6799999999999997,127.31935857517075,136.21039964151845,25.328461193651698,0.4883720930232558,0.03545731891121847,0.08892003446817398,0.037620969116687775
i,12.71,13.02,0.3099999999999987,136.3606908245327,136.6049290504945,4.934732162509398,0.7,0.01736629148336004,0.12323074042797089,0.048023730516433716
mostly,13.049999,13.639999,0.5899999999999999,123.38317244257658,122.75968568932456,6.460996947251305,0.8378378378378378,0.016766407204742498,0.14535358548164368,0.03574419394135475
copied,13.86,14.56,0.7000000000000011,126.1106252041418,124.90548719779652,3.8737255816762395,0.7045454545454546,0.010719227490430073,0.13230711221694946,0.04227454215288162
patterns,14.78,15.55,0.7700000000000014,100.85026348646704,98.56656061031477,24.11468295521947,0.7551020408163265,0.02446123045065019,0.12034852057695389,0.05044524371623993
reused,15.75,16.62,0.870000000000001,130.95406463591047,124.18815625591377,16.836069386772383,0.7636363636363637,0.01538893100136711,0.164055734872818,0.05517906695604324
scripts,16.699999,17.579998999999997,0.879999999999999,113.47192371209225,113.22324603078411,19.923158031266432,0.48214285714285715,0.028593134613718086,0.13144738972187042,0.04660904034972191
and,17.940001,18.240001,0.3000000000000007,146.8496353096639,145.9866916572425,2.264618594351169,0.631578947368421,0.00415252811335348,0.14995555579662323,0.04010391980409622
assembled,18.24,19.19,0.9500000000000028,120.4271643329975,110.63722351746388,17.94960896174315,0.7833333333333333,0.013025316865526219,0.13677017390727997,0.04117846488952637
other,19.26,19.680000000000003,0.4200000000000017,100.07017682289283,100.00066130924799,1.8674800654422026,0.8148148148148148,0.009909885744508637,0.1335243284702301,0.027609502896666527
people's,19.680000000000003,20.460000000000004,0.7800000000000011,95.08124272231638,95.76056196257365,3.579754439108125,0.7959183673469388,0.01636614321426476,0.13027682900428772,0.034520719200372696
modules,20.760000000000005,22.510000000000005,1.75,99.22843896110533,103.22817963382575,13.931544256615036,0.5818181818181818,0.022139818073298588,0.10158198326826096,0.056863367557525635
once,23.960000000000004,24.370000000000005,0.41000000000000014,125.21994923827336,123.47082531403102,15.335475235826502,0.7307692307692307,0.023347476444425787,0.12269800156354904,0.04648125544190407
in,24.370000000000005,24.47,0.09999999999999432,146.22915293896077,143.89430958116571,10.872656430361646,0.8571428571428571,0.043587411994456385,0.13340701162815094,0.018369242548942566
a,24.47,24.540000000000003,0.07000000000000384,125.82465722580959,125.63115312373517,1.8828700803002987,0.8,0.013457830269409088,0.13075222074985504,0.0009126186487264931
